name,id,cuisine,address,rating,price,recommendedfood,opentime,latitude,longitude,phone,city
杭州酒家(延安路店),B023B1994H,餐饮服务;中餐厅;综合酒楼,延安路205号1-3层,4.7,89.00,"闷骚南瓜,杭州熏鱼,大刀饼,叫化鸡,炸响铃,粉丝千张包汤,葱油腰花,文思豆腐,黄鱼觠蒸千张包,龙井虾仁,果木泥烤叫花鸡,东坡肉,清汤鱼圆,西湖醋鱼,雪媚娘,熏鱼,叫花鸡,响油鳝丝",周一至周日 11:00-20:30,30.251744,120.164014,0571-87087123;13606544354,杭州
萨莉亚意式餐厅(杭州湖滨银泰in77D区店),B0H1DLNSEY,餐饮服务;外国餐厅;意式菜品餐厅,延安路258号杭州湖滨银泰in77D区B2层,4.7,48.00,,周一至周日 10:00-22:00,30.253736,120.163173,,杭州
点都德(湖滨银泰in77店),B0G1DRJXNG,餐饮服务;中餐厅;广东菜(粤菜),延安路258号湖滨银泰in77C2区4楼,4.7,71.00,"状元及第粥,鸡油马拉糕,明虾蟹子烧卖,青芥炸虾球,紫薯菓,避风塘芋头糕,蜜汁叉烧包,招牌虾饺皇,招牌陈醋浸凤爪,芫茜牛肉肠,凤凰流沙包,生煎韭菜饺,松化鸡蛋挞,潮州蒸粉果,金牌虾饺皇,金牌靓油条,金腿咸水角,金莎海虾红米肠,柠香牛肉球,乳鸽,百合酱蒸凤爪,特色蒸排骨,荔湾艇仔粥,原只椰子炖竹丝鸡汤,安格斯黑椒牛仔骨,豉油皇三丝炒面,五色蔬果捞,雪花牛肉饺,麻香无骨鸭掌,焦糖冰豆花,金莎红米肠,香芒夹心椰汁糕,招牌烧卖,凉拌爽口黑木耳,招牌靓油条,灌汤姜汁小笼包,鼓油皇三丝炒面,沙爹金钱肚,早茶,凤爪,红米肠,虾仁,虾饺,点心,油条","周一至周五 10:00-16:00,17:00-21:00；周六至周日 10:00-21:30",30.25195,120.164572,0571-87023703,杭州
大牌大传统菜(湖滨店),B0FFHGRSFM,餐饮服务;中餐厅;中餐厅,学士路41号(地铁一号线龙翔桥站B出口对面),4.7,62.00,"一口闷芝士南瓜,南乳扎烧,瓦罐神仙鸭,老杭州爆肥肝,吮指鸡爪,桂花奶盖红豆沙,龙井虾仁,芙蓉溜鱼片,酥炸小刀鱼,竹筒糯米鲊,虾肉嵌豆腐,糖醋里脊,酱鸭锅巴泡饭,卤大肠,宫保鸡丁,肘子,杭三鲜,胡椒猪肚鸡,香辣虾,白切鸡,脆皮乳鸽,宋嫂鱼羹,年糕,西湖醋鱼","周一至周五 11:00-13:30,17:00-20:30；周六至周日 11:00-14:00,16:30-20:30",30.255784,120.163643,0571-88057737,杭州
绿茶餐厅(杭州湖滨银泰in77店),B0J09RYXWE,餐饮服务;中餐厅;中餐厅,延安路258号湖滨银泰in77C区三楼,4.7,72.00,"面包诱惑,绿茶烤肉合拼,鱼头诱惑,招牌石锅沸腾饭,火焰虾,牛肉诱惑,芝士焗时菌,绿茶烤鱼,绿茶烤鸡,花生冰沙,古法烤鱼,石锅蛙,菠萝油条虾,小锅土豆,东坡肉,鱼头,烤肉,糖醋里脊,龙井虾仁",周一至周日 10:00-22:00,30.252229,120.164547,0571-87029699,杭州
西子餐厅(西子清宴),B0K6OBPMF8,餐饮服务;中餐厅;中餐厅,邮电路86号(龙翔桥地铁站C口步行370米),4.7,,"东坡肉,西湖醋鱼,小炒黄牛肉,豆面,鲍鱼捞饭,虾仁,葱包烩,鲍鱼,龙井虾仁,火腿,鸡肉,鲈鱼,乾隆白菜,酸菜鱼","周一至周日 11:00-15:00,16:30-21:00",30.252058,120.163461,0571-88951555,杭州
缦云里花园餐厅(杭州湖滨银泰in77D区店),B0G1SRC9DM,餐饮服务;外国餐厅;西餐厅(综合风味),延安路239号杭州湖滨银泰in77D区F3,4.8,121.00,"蛋挞,意面,牛排,舒芙蕾,沙拉,牛肉",周一至周日 11:00-21:00,30.253583,120.163793,13806528985,杭州
新白鹿餐厅(湖滨88店),B0J119884W,餐饮服务;中餐厅;浙江菜,湖滨88商场1楼(学士路侧),4.7,,,"周一至周日 10:30-14:30,16:00-21:00",30.255253,120.162138,,杭州
弄堂里(杭州湖滨银泰in77C1区店),B0FFF3JJ0S,餐饮服务;中餐厅;浙江菜,延安路278号湖滨银泰3楼(龙翔桥地铁站出入口旁),4.4,87.00,"鸡爪,东坡肉,卤鸡爪,梭子蟹炒年糕",周一至周日 09:00-21:00,30.253713,120.164761,0571-85870518;13656685649;18868928133,杭州
杭州君悦酒店·湖滨28中餐厅,B023B09VKF,餐饮服务;中餐厅;中餐厅,湖滨路28号君悦酒店1层(近平海路),4.6,302.00,"烤虾,海鲜,牛排,冰淇淋,惠灵顿牛肉,火腿,冰淇淋档,红烧肉,前菜,鲍鱼,蒸海鲜,精品生蚝,宋嫂鱼羹,脆皮鸡,西湖醋鱼,蟹粉豆腐,龙井虾仁,松鼠桂鱼,神仙鸡,鹅肝","周一至周日 11:30-14:00,17:30-21:30",30.254843,120.161906,0571-87791234,杭州
第101座花园餐厅(湖滨88店),B0HGBMQFZ5,餐饮服务;外国餐厅;西餐厅(综合风味),平海路124号杭州湖滨88 F3层,4.7,253.00,,"周一至周日 11:00-14:00,16:30-21:00",30.254945,120.162473,,杭州
1921湖景餐厅,B023B1FEV5,餐饮服务;中餐厅;中餐厅,邮电路82号杭州酒家4-6层,4.5,174.00,"荷花酥,富贵金龙鱼饼,杭州响铃树,山家清供,天目笋干,梨园舞袖,龙舟鱼米之乡,鸭舌肴肉拼素卷,萝卜干蒸钱江鳗,龙井虾仁,东坡肉,鲜卤澳洲牛排,火踵神仙鸭,西湖醋鳜鱼,果木泥烤叫化鸡,叫花鸡","周一至周日 11:00-14:00,17:00-20:30",30.251796,120.163967,0571-88881921,杭州
菲乐餐厅(湖滨店),B023B1DPNZ,餐饮服务;中餐厅;浙江菜,湖滨路36号华侨饭店正门南侧,4.5,86.00,"菜梗炒猪肝,梭子蟹番茄豆腐煲,西湖醋鱼,片儿川,火腿蒸本鸡,醉虾,东坡肉,油爆虾,汤爆黄暄,笋干烧农家肉,糖醋里脊,刀豆炒菌菇,酱鸭,酒酿圆子,笋干烧肉,菜梗,猪肝,白切鸡,龙井虾仁,大盘鸡,凉面","周一至周日 11:00-15:30,17:00-22:00",30.255999,120.160259,0571-86608777;0571-87060766;13616506103,杭州
鸟语花香·西湖·湖景餐厅(仁和店),B0IDVRN5C1,餐饮服务;中餐厅;中餐厅,邮电路86号仁和饭店7楼,4.7,,"深海野生黄鱼,椒盐富贵虾,自制带鱼,葱烧辽参,鲍鱼,沙蒜烧豆面,下午茶,沙蒜豆面,卤大肠,特色菜,带鱼","周一至周日 10:00-14:00,16:00-21:00",30.25205,120.163604,0571-85370077,杭州
