name,id,featurehoteltype,address,rating,cost,tag,latitude,longitude,phone,photos,city
Zsmart智尚酒店(杭州万达广场汽车城店),B0FFKKJSB3,住宿服务;宾馆酒店;宾馆酒店,广丰街101号宜家时代大厦1幢,,,,30.321792,120.117598,,"['http://store.is.autonavi.com/showpic/cca4a4c6863b3491606f97b28a41fa01', 'http://store.is.autonavi.com/showpic/bf02fbc3001098c95ec534c95d53c840', 'http://store.is.autonavi.com/showpic/679fc042de0429f665b21eb25e89af02']",杭州
泰至宾馆(杭州桂花西路地铁站店),B023B14SA7,住宿服务;宾馆酒店;宾馆酒店,富春街道春秋北路39-1号,,,,30.050746,119.944413,,"['http://store.is.autonavi.com/showpic/55ad0c6dddf59506fd597f16227584dd', 'http://store.is.autonavi.com/showpic/c539b74fb76dd74ece09872f2d9b4c59', 'http://store.is.autonavi.com/showpic/d528555fa3fe4a37d81d411bf591e4e2']",杭州
富景商务酒店,B023B19BVD,住宿服务;宾馆酒店;宾馆酒店,分水镇玉华路199号,,,,29.929195,119.436323,,"['http://store.is.autonavi.com/showpic/4e472716d1ad7912b8851633401c58c2', 'http://store.is.autonavi.com/showpic/c9b6e3240e9f7e538e018c4b197eb319', 'http://store.is.autonavi.com/showpic/ff16c540011dbe746300bf4542c57b49']",杭州
雅舍精品酒店,B023B19BR4,住宿服务;宾馆酒店;宾馆酒店,义蓬街道义隆桥北(近义蓬购物广场),,,,30.266611,120.494804,,"['http://store.is.autonavi.com/showpic/2a712834b13f843849dfe3105fe6de8c', 'http://store.is.autonavi.com/showpic/8291fa20eaf8a1a55ecec89b13630b40', 'http://store.is.autonavi.com/showpic/e7629958044f4af02ec6f31eaa788a1e']",杭州
杭州欧帆酒店(杭州奥体博览中心店),B0FFHOHAHY,住宿服务;宾馆酒店;宾馆酒店,飞虹路1878号(飞虹路地铁站D口步行260米),,,,30.229142,120.262827,,"['http://store.is.autonavi.com/showpic/2ef45d0e3de132f115f3407da9e4c11f', 'http://store.is.autonavi.com/showpic/f01ee8b4df87d496f747dabefa54e4a7', 'http://store.is.autonavi.com/showpic/b21fcd1ff53650c2c31ad1f55e451905']",杭州
杭州胜梦精品酒店,B0FFHXZAJ6,住宿服务;宾馆酒店;宾馆酒店,6号大街精欧荣寓3幢,,,,30.302991,120.351414,,"['http://store.is.autonavi.com/showpic/9cfb55cc25f0644d20ba6c25eb3e9c88', 'http://store.is.autonavi.com/showpic/b239bbc3bd8180b413716c89e1e4a912', 'http://store.is.autonavi.com/showpic/402f2004ff4be0c2157a1f9dc451bd39']",杭州
布丁严选酒店(杭州河坊街城站地铁站店),B023B0BCLY,住宿服务;宾馆酒店;经济型连锁酒店,河坊街18号(江城路地铁站C1口步行60米),,,,30.239025,120.177447,,"['http://store.is.autonavi.com/showpic/2056e7c33a1b1f1635f0602596311d94', 'http://store.is.autonavi.com/showpic/98d742859c24f82acc1f7e2346873fdd', 'http://store.is.autonavi.com/showpic/2d9fc35437e2cdea4595d7d3a3ade490']",杭州
布丁酒店(杭州转塘音乐学院象山美院店),B0FFG8VM7O,住宿服务;宾馆酒店;经济型连锁酒店,转塘镇象山364号1幢1单元,,,,30.148874,120.079318,,"['http://store.is.autonavi.com/showpic/dfab0efe28ebb11960eea7f270155c55', 'http://store.is.autonavi.com/showpic/d4f0dc0f17b712166d3e08c1388e4802', 'http://store.is.autonavi.com/showpic/e76b63be532a4b38dd49a12fb2b8ee14']",杭州
如家酒店(杭州萧山国际机场店),B0FFGF1TTP,住宿服务;宾馆酒店;经济型连锁酒店,红山农场红山大道55号,,,,30.231889,120.39961,,"['http://store.is.autonavi.com/showpic/58343446a88a218aefb32de25362ff55', 'http://store.is.autonavi.com/showpic/861b0aac7bec4bbc028fa6290a36a44a', 'http://store.is.autonavi.com/showpic/b20f6baacb957bba841ae53272577dc1']",杭州
7天连锁酒店(杭州汽车北站万达广场店),B023B149YA,住宿服务;宾馆酒店;经济型连锁酒店,花园岗街209号(广丰路与崇海路的交叉口),,,,30.321449,120.119035,,"['http://store.is.autonavi.com/showpic/f2dd31730e9e1058bb942ca560c2ed33', 'http://store.is.autonavi.com/showpic/4e459e42bb911ad5260a90723d8396c6', 'http://store.is.autonavi.com/showpic/b42f8544e849abb488b86dfc0b89837d']",杭州
杭州呀诺达酒店(杭州下沙传媒学院店),B0FFK0S489,住宿服务;宾馆酒店;宾馆酒店,元成路9号,,,,30.325512,120.343978,,"['http://store.is.autonavi.com/showpic/11aba6d3e3b9aeeb80a53e9acb72caf2', 'http://store.is.autonavi.com/showpic/ef6255a63d313d3041954100ed507973', 'http://store.is.autonavi.com/showpic/4abad7180ea3b9d30122ed62bf071bc0']",杭州
